Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Simon Cofield,Men's Sailboard
3,Nigel Spriggs,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Matthew York,Men's Sailboard
6,Allan Cross,Men's Sailboard
7,Jamie Walker,Men's Sailboard
8,Gavin Furmenger,Men's Sailboard
9,Garry Connell,Men's Sailboard
10,Matthew Spooner,Men's Sailboard
11,Mark Matthews,Men's Sailboard
12,Adrian Wallis,Men's Sailboard
13,Alan Russell,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Nic Dodd,Men's Sailboard
